year,pub_radar,pub_hydrogen_battery,pub_health_information_systems,pub_3d_printing,pub_smart_grid_technology,pub_data_warehousing,pub_artificial_intelligence,pub_cybersecurity,pub_internet_protocol_television,pub_mobile_computing,pub_wireless_sensor_networks,pub_embedded_systems,pub_cloud_infrastructure,pub_data_mining,pub_edge_computing,pub_supply_chain,pub_online_learning,pub_pub18
1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1969,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1970,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
1971,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1972,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1973,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1974,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1975,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1976,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1977,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1979,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1980,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1981,2,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
1982,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2
1983,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
1984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
1986,3,2,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,1
1987,6,1,1,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1
1988,5,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1989,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2
1990,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1991,4,5,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1992,9,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
1993,6,3,3,0,0,0,3,0,0,3,0,2,0,0,1,3,0,3
1994,6,6,6,0,0,0,1,0,0,4,0,3,0,0,1,1,0,7
1995,8,8,4,0,0,2,2,0,1,9,0,6,0,2,3,3,0,6
1996,6,6,1,0,0,3,3,0,0,8,0,7,0,7,3,6,1,7
1997,3,0,6,0,0,7,2,0,0,5,0,3,0,2,1,6,1,3
1998,9,2,6,0,0,11,3,0,1,10,0,11,0,6,1,6,1,7
1999,8,0,15,0,0,12,2,0,6,6,0,6,0,9,1,10,3,5
2000,13,5,7,0,0,15,0,0,2,7,1,10,0,10,3,13,3,4
2001,1,3,10,0,0,21,0,0,3,10,3,11,0,7,2,16,2,5
2002,5,3,13,1,0,18,0,1,2,11,6,7,0,15,3,12,7,6
2003,9,2,11,2,0,18,1,1,3,16,13,12,0,13,3,18,12,2
2004,5,4,14,1,0,9,4,0,2,10,17,13,0,9,1,20,16,6
2005,10,4,22,1,0,26,4,4,9,15,18,19,0,13,2,27,20,8
2006,12,3,21,0,0,17,1,1,10,20,33,17,0,17,5,20,15,4
2007,17,3,26,1,0,15,4,2,25,13,28,15,0,11,2,15,11,7
2008,12,4,24,0,3,10,6,3,20,10,27,11,2,20,2,22,10,7
2009,12,9,17,2,7,20,8,4,27,13,28,17,10,12,3,14,23,12
2010,15,5,24,4,12,16,7,4,40,21,31,17,11,17,2,13,19,11
2011,10,4,23,0,29,13,5,11,40,23,28,15,18,18,4,14,12,16
2012,13,12,23,5,29,11,2,5,37,21,19,21,25,21,2,17,14,11
2013,15,15,30,21,25,12,5,5,29,29,30,15,33,19,4,14,22,18
2014,13,16,31,27,36,13,6,8,33,20,18,13,43,16,10,11,14,15
2015,19,16,27,51,28,21,7,15,21,30,19,18,48,14,16,20,15,23
2016,14,14,30,63,31,12,6,21,22,29,28,23,43,13,25,9,18,18
2017,11,26,26,66,34,16,26,27,22,29,25,22,32,34,56,11,15,32
2018,22,40,37,95,40,16,42,51,16,24,26,25,45,28,88,24,30,33
2019,25,27,45,66,32,23,66,66,19,41,25,33,43,27,111,33,36,38
2020,15,33,36,69,41,20,68,63,12,38,27,22,42,27,83,32,64,38
2021,21,44,39,63,29,27,51,56,9,32,19,29,44,25,60,27,64,26
2022,21,50,34,59,28,26,59,60,5,24,21,30,35,29,61,48,61,45
2023,26,64,41,57,35,22,66,67,9,30,13,23,29,29,64,32,62,37
2024,23,65,51,83,37,26,116,112,4,22,9,29,46,30,61,42,53,37
2025,21,41,29,55,18,24,83,92,2,11,12,18,40,10,35,23,35,23
